Date,Underlying_Price,Risk_Free_Rate_Raw,Risk_Free_Rate_Kalman,Dividend_Yield_Continuous,ATM_IV,Skew_90_110,Kurtosis_Wings,Options_Volume
2015-11-30,2082.08,0.010640398552658232,0.007358334594311569,0.02141215156358908,0.14983702887827285,0.13480133938103564,0.06868742945593531,5069
2015-12-01,2100.36,0.005860986974763883,0.007292851781902762,0.02144846423798421,0.13784694283751928,0.12868349120000971,0.07570312280104269,4890
2015-12-02,2080.49,0.009203720278382573,0.007376418911979534,0.021670194955534763,0.1487787226499548,0.13166824946703104,0.0684426003387005,5156
2015-12-03,2047.94,0.01004505976520881,0.007493125350816548,0.021414718231779015,0.16502501585669277,0.13685438623002177,0.06051077281013323,5757
2015-12-04,2090.98,0.005116189574732379,0.007389175915494295,0.021396052603481926,0.1401388442464246,0.11922770164317206,0.06965281334315582,5361
2015-12-07,2074.83,0.0071440253906333,0.007378454860729309,0.021458673355161415,0.14925466809629978,0.13289822021293093,0.0672992331457909,5350
2015-12-08,2063.75,0.0067333634869988805,0.00735024337739634,0.021395842874905167,0.1561757245536457,0.1411062395046644,0.06561694465942022,5417
2015-12-09,2048.22,0.010821168345172815,0.007502035737154864,0.021451106485340037,0.16865568346283663,0.14770674806026185,0.056978781758427716,5638
2015-12-10,2054.57,0.009713537941691396,0.007598750342441427,0.021503930676957658,0.1636324219314138,0.13574773679223498,0.06756974661400342,5616
2015-12-11,2010.49,0.008571197779729749,0.007641277937424757,0.021379931986744084,0.20043140477753915,0.16410472696823927,0.060813209820947595,6089
2015-12-14,2012.32,0.010163915856096377,0.007751599297306184,0.021410195217336832,0.19287042946488236,0.14876559783525908,0.06133731711256479,5999
2015-12-15,2044.65,0.00888811422334244,0.007801301980056581,0.021388181670140054,0.1770263747969643,0.1438908105305566,0.05837192812473402,5613
2015-12-16,2073.63,0.01086303580795334,0.007935199372539448,0.021479622602785905,0.15414887541035346,0.1277206455184165,0.07042617473065846,5601
2015-12-17,2050.87,0.010798942602890053,0.008060438133593936,0.021591727215622747,0.16042520387093023,0.12996172391002636,0.06727596592688453,5467
2015-12-18,2015.6,0.009600270852326146,0.008127778927238196,0.021441876527083736,0.17149463763222034,0.1386430441164334,0.06601370064451634,5363
2015-12-21,2012.56,0.009377371474509271,0.008182426781411907,0.02156793558592217,0.17348738807864875,0.13874922758166652,0.054230443781812715,5579
2015-12-22,2036.25,0.010458163178293001,0.008281950510987726,0.021531535528103097,0.15665455311486043,0.12383766092279949,0.060711701543740226,5360
2015-12-23,2062.28,0.009496177420069512,0.008335051736028005,0.021557832309798856,0.14666945144441013,0.11865385495324678,0.06556683539590596,5198
2015-12-24,2066.38,0.00874816619279031,0.00835311827991025,0.021526202899506765,0.14587436817360072,0.11894039002935583,0.0661317251280133,5428
2015-12-28,2054.73,0.011141414512433907,0.008475057552228113,0.021526503284574724,0.15261018085311323,0.12887990485932552,0.06715967843220735,5362
2015-12-29,2077.57,0.010439046662883224,0.008560947781609062,0.021494478349795273,0.14612009415528912,0.12551841020593613,0.07284920789221516,5412
2015-12-30,2065.82,0.008972619377481403,0.008578951225521896,0.021477971439750863,0.1492109490027007,0.11958107930951115,0.07556302954123065,5223
2015-12-31,2049.54,0.010278747729284502,0.008653287641552434,0.021478175262859354,0.15599254056181827,0.12731039809459324,0.07256736430544483,5294
2016-01-04,2003.48,0.009095764865222768,0.008672638293768735,0.02157647485744943,0.1869968190860014,0.15082055007540673,0.06536234808466107,5410
2016-01-05,2017.0,0.009501667201580929,0.008708893832391184,0.021506953345086555,0.17186446164521302,0.14310526706343257,0.05579688875963407,5351
2016-01-06,1989.27,0.010194070452186597,0.008773844376084831,0.02185736739408937,0.18414474591275007,0.13952232170945697,0.050518284744513337,5499
2016-01-07,1944.94,0.013586020498121743,0.008984293053575414,0.021579762847988886,0.21159455478055822,0.14108280227603148,0.047116090914048336,5962
2016-01-08,1926.64,0.007197958523027065,0.008906172109957387,0.021561831506282384,0.21887046824699719,0.14212972798813206,0.048776578500362766,6049
2016-01-11,1929.44,0.009939786366298822,0.008951374685209432,0.02155679518637828,0.19978893379638493,0.14769986091026668,0.06783595785829646,5853
2016-01-12,1940.64,0.007688448361687295,0.00889614371115257,0.021561726073434727,0.19096043479639654,0.1449352984221354,0.05469139994533251,5727
2016-01-13,1893.94,0.008683581969700087,0.008886847846612426,0.021572922499106723,0.21521820120104568,0.1566694928389067,0.07106578045523942,5900
